Suburb,Created Datetime,Id,Visible,Name,Location Type,Main Risk,Risk Second,Risk Third,Description,Road Length,Frequency,Road User View,High Speed Limits Yes No,Submitter Name,Age,Rac Member,Postcode,Location,Submission Sets,Attachments,No. of Supports,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20,Comment 21,Comment 22,Comment 23,Comment 24,Comment 25,Comment 26,Comment 27,Comment 28,Comment 29,Comment 30,Comment 31,Comment 32,Comment 33,Comment 34,Comment 35,Comment 36,Comment 37,Comment 38,Comment 39,Comment 40,Comment 41,Comment 42,Comment 43,Comment 44,Comment 45,Comment 46,Comment 47,Comment 48,Comment 49,Comment 50,Comment 51,Comment 52,Comment 53,Comment 54,Comment 55,Comment 56,Comment 57,Comment 58,Comment 59,Comment 60,Comment 61,Comment 62,Comment 63,Comment 64,Comment 65,Comment 66,Comment 67,Comment 68,Comment 69,Comment 70,Comment 71,Comment 72,Comment 73,Comment 74,Comment 75,Comment 76,Comment 77,Comment 78,Comment 79,Comment 80,Comment 81,Comment 82,Comment 83,Comment 84,Comment 85,Comment 86,Comment 87,Comment 88,Comment 89,Comment 90,Comment 91,Comment 92,Comment 93,Comment 94,Comment 95,Comment 96,Comment 97,Comment 98,Comment 99,Comment 100,Comment 101,Comment 102,Comment 103,Comment 104,Comment 105,Comment 106,Comment 107,Comment 108,Comment 109,Comment 110,Comment 111,Comment 112,Comment 113,Comment 114,Comment 115,Comment 116,Comment 117,Comment 118,Comment 119,Comment 120,Comment 121,Comment 122,Comment 123,Comment 124,Comment 125,Comment 126,Comment 127,Comment 128,Comment 129,Comment 130,Comment 131,Comment 132,Comment 133,Comment 134,Comment 135,Comment 136,Comment 137,Comment 138,Comment 139,Comment 140,Comment 141,Comment 142,Comment 143,Comment 144,Comment 145,Comment 146,Comment 147,Comment 148,Comment 149,Comment 150,Comment 151,Comment 152,Comment 153,Comment 154,Comment 155,Comment 156,Comment 157,Comment 158,Comment 159,Comment 160,Comment 161,Comment 162,Comment 163,Comment 164,Comment 165,Comment 166,Comment 167,Comment 168,Comment 169,Comment 170,Comment 171,Comment 172,Comment 173,Comment 174,Comment 175,Comment 176,Comment 177,Comment 178,Comment 179,Comment 180,Comment 181,Comment 182,Comment 183,Comment 184,Comment 185,Comment 186,Comment 187,Comment 188,Comment 189,Comment 190,Comment 191,Comment 192,Comment 193,Comment 194,Comment 195,Comment 196,Comment 197,Comment 198,Comment 199,Comment 200,Comment 201,Comment 202,Comment 203,Comment 204,Comment 205,Comment 206,Comment 207,Comment 208,Comment 209,Comment 210,Comment 211,Comment 212,Comment 213,Comment 214,Comment 215,Comment 216,Comment 217,Comment 218,Comment 219,Comment 220,Comment 221,Comment 222,Comment 223,Comment 224,Comment 225,Comment 226,Comment 227,Comment 228,Comment 229,Comment 230,Comment 231,Comment 232,Comment 233,Comment 234,Comment 235,Comment 236,Comment 237,Comment 238,Comment 239,Comment 240,Comment 241,Comment 242,Comment 243,Comment 244,Comment 245,Comment 246,Comment 247,Comment 248,Comment 249,Comment 250,Comment 251,Comment 252,Comment 253,Comment 254,Comment 255,Comment 256,Comment 257,Comment 258,Comment 259,Comment 260,Comment 261,Comment 262,Comment 263,Comment 264,Comment 265,Comment 266,Comment 267,Comment 268,Comment 269,Comment 270,Comment 271,Comment 272,Comment 273,Comment 274,Comment 275,Comment 276,Comment 277,Comment 278,Comment 279,Comment 280,Comment 281,Comment 282,Comment 283,Comment 284,Comment 285,Comment 286,Comment 287,Comment 288,Comment 289,Comment 290,Comment 291,Comment 292,Comment 293,Comment 294,Comment 295,Comment 296,Comment 297,Comment 298,Comment 299,Comment 300,Comment 301,Comment 302,Comment 303,Comment 304,Comment 305,Comment 306,Comment 307,Comment 308,Comment 309,Comment 310,Comment 311,Comment 312,Comment 313,Comment 314,Comment 315,Comment 316,Comment 317,Comment 318,Comment 319,Comment 320,Comment 321,Comment 322,Comment 323,Comment 324,Comment 325,Comment 326,Comment 327,Comment 328,Comment 329,Comment 330,Comment 331,Comment 332,Comment 333,Comment 334,Comment 335,Comment 336,Comment 337,Comment 338,Comment 339,Comment 340,Comment 341,Comment 342,Comment 343,Comment 344,Comment 345,Comment 346,Comment 347,Comment 348,Comment 349,Comment 350,Comment 351,Comment 352,Comment 353,Comment 354,Comment 355,Comment 356,Comment 357,Comment 358,Comment 359,Comment 360,Comment 361,Comment 362,Comment 363,Comment 364,Comment 365,Comment 366,Comment 367,Comment 368,Comment 369,Comment 370,Comment 371,Comment 372,Comment 373,Comment 374,Comment 375,Comment 376,Comment 377,Comment 378,Comment 379,Comment 380,Comment 381,Comment 382,Comment 383,Comment 384,Comment 385,Comment 386,Comment 387,Comment 388,Comment 389,Comment 390,Comment 391,Comment 392,Comment 393,Comment 394,Comment 395,Comment 396,Comment 397,Comment 398,Comment 399,Comment 400,Comment 401,Comment 402,Comment 403,Comment 404,Comment 405,Comment 406,Comment 407,Comment 408,Comment 409,Comment 410,Comment 411,Comment 412,Comment 413,Comment 414,Comment 415,Comment 416,Comment 417,Comment 418,Comment 419,Comment 420,Comment 421,Comment 422,Comment 423,Comment 424,Comment 425,Comment 426,Comment 427,Comment 428,Comment 429,Comment 430,Comment 431,Comment 432,Comment 433,Comment 434,Comment 435,Comment 436,Comment 437,Comment 438,Comment 439,Comment 440,Comment 441,Comment 442,Comment 443,Comment 444,Comment 445,Comment 446,Comment 447,Comment 448,Comment 449,Comment 450,Comment 451,Comment 452,Comment 453,Comment 454,Comment 455,Comment 456,Comment 457,Comment 458,Comment 459,Comment 460,Comment 461,Comment 462,Comment 463,Comment 464,Comment 465,Comment 466,Comment 467,Comment 468,Comment 469,Comment 470,Comment 471,Comment 472,Comment 473,Comment 474,Comment 475,Comment 476,Comment 477,Comment 478,Comment 479,Comment 480,Comment 481,Comment 482,Comment 483,Comment 484,Comment 485,Comment 486,Comment 487,Comment 488,Comment 489,Comment 490,Comment 491,Comment 492,Comment 493,Comment 494,Comment 495,Comment 496,Comment 497,Comment 498,Comment 499,Comment 500,Comment 501,Comment 502,Comment 503,Comment 504,Comment 505,Comment 506,Comment 507,Comment 508,Comment 509,Comment 510,Comment 511,Comment 512,Comment 513,Comment 514,Comment 515,Comment 516,Comment 517,Comment 518,Comment 519,Comment 520,Comment 521,Comment 522,Comment 523,Comment 524,Comment 525,Comment 526,Comment 527,Comment 528,Longitude,Latitude
"Hazelmere","5/11/18 22:42","351533","TRUE","311-311 Stirling Cres, Hazelmere","road_nomination","Other","Poor road surface quality","Narrow road, lanes or bridges","Edge of road has a large drop off and cars lining up at the traffic lights are unable to go around other cars to be able to turn left at the lights without risking their car going down the large pot hole","less than 1km","Most days","Motorist","no_speed_limits_too_high","Adam","25-34","yes_member","6103","{""Sector"": """", ""PlaceName"": """", ""Postal"": ""6055"", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""PostalExt"": """", ""AddNum"": ""311"", ""ShortLabel"": ""311-311 Stirling Cres"", ""Subregion"": """", ""LongLabel"": ""311-311 Stirling Cres, Hazelmere"", ""Address"": ""311 Stirling Cres"", ""Match_addr"": ""311-311 Stirling Cres, Hazelmere, Western Australia, 6055"", ""Territory"": """", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","1","Carmela : None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0086405277,-31.91624720440002
"Hazelmere","8/11/18 23:36","352381","TRUE","286-294 Stirling Cres, Hazelmere","road_nomination","Poor road surface quality","Narrow road, lanes or bridges","Hazardous roadside objects or trees","The current Stirling Crescent in Hazelmere between Bushmead Road & Great Eastern Hwy Bypass is in poor condition and can�۪t cope with the number of trucks and vehicles that use it.","1 ��� 5km","Most days","Motorist","no_speed_limits_too_high","Matthew","25-34","yes_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""290 Stirling Cres"", ""AddNum"": ""290"", ""ShortLabel"": ""286-294 Stirling Cres"", ""Subregion"": """", ""LongLabel"": ""286-294 Stirling Cres, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""286-294 Stirling Cres, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","1","Tony: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.00908041,-31.9135196564
"Hazelmere","13/11/18 0:12","352687","TRUE","Bushmead Rd & Military Rd, Hazelmere","intersection_roundabout_nomination","Vegetation/objects block visibility","Little chance to turn/cross traffic","","peak traffic times, inability turning right from military road with safety and risks have to be dangerously taken.  Have suggested to main roads a cheap version would be to remove scrubby trees for clearer vision but they said they could not see a problem.","","Most days","Motorist","no_speed_limits_too_high","helen","65-74","yes_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Bushmead Rd & Military Rd"", ""AddNum"": """", ""ShortLabel"": ""Bushmead Rd & Military Rd"", ""Subregion"": """", ""LongLabel"": ""Bushmead Rd & Military Rd, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""Bushmead Rd & Military Rd, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","1","Steve: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0147130489,-31.9107146145
"Hazelmere","15/11/18 3:31","353096","TRUE","3 & Great Eastern Highway Byp, Hazelmere","intersection_roundabout_nomination","Other","","","Excessive congestion  Intersection needs upgrading to over pass","","Most days","Motorist","no_speed_limits_too_high","","25-34","yes_member","6562","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""3 & Great Eastern Highway Byp"", ""AddNum"": """", ""ShortLabel"": ""3 & Great Eastern Highway Byp"", ""Subregion"": """", ""LongLabel"": ""3 & Great Eastern Highway Byp, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""3 & Great Eastern Highway Byp, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","2","Steven: None","Steven: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.014380455,-31.9161789029
"Hazelmere","17/11/18 1:32","353245","TRUE","251-251 Midland Rd, Hazelmere","road_nomination","Poor road surface quality","Poor road markings or no edge-lines","Vehicles travel over the speed limit","Ive been ran off the road on my bicycle on this road. ","1 ��� 5km","I actively avoid the area","Cyclist","yes_speed_limits_too_high","chris","35-44","no_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""251 Midland Rd"", ""AddNum"": ""251"", ""ShortLabel"": ""251-251 Midland Rd"", ""Subregion"": """", ""LongLabel"": ""251-251 Midland Rd, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""251-251 Midland Rd, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0201740265,-31.926960813
"Hazelmere","17/11/18 1:34","353246","TRUE","196-220 Bushmead Rd, Hazelmere","road_nomination","Poor road surface quality","Poor or no road lighting","Poor or no provision for cyclists","I was hit by a car in this location","less than 1km","I actively avoid the area","Cyclist","yes_speed_limits_too_high","chris","35-44","no_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""208 Bushmead Rd"", ""AddNum"": ""208"", ""ShortLabel"": ""196-220 Bushmead Rd"", ""Subregion"": """", ""LongLabel"": ""196-220 Bushmead Rd, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""196-220 Bushmead Rd, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.998544693,-31.9058329092
"Hazelmere","22/11/18 7:06","354109","TRUE","Bushmead Rd & Military Rd, Hazelmere","intersection_roundabout_nomination","Little chance to turn/cross traffic","Distraction issues","","Vehicles taking risks to enter into Bushmead Road from Military Road due to constant flow of traffic.  ","","1 ��� 2 times per month","Motorist","no_speed_limits_too_high","Carol","65-74","yes_member","6074","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Bushmead Rd & Military Rd"", ""AddNum"": """", ""ShortLabel"": ""Bushmead Rd & Military Rd"", ""Subregion"": """", ""LongLabel"": ""Bushmead Rd & Military Rd, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""Bushmead Rd & Military Rd, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","10","None","None","Peter: None","None","Froy Leano : None","Stuart: None","Di: Vehicles coming along Bushmead come over a slight rise,  traffic very heavy, dangerous when turning right off Military onto Bushmead.","Glenda: When turning right-Poor visibility and frequency of traffic from Midland Rd coming fro  left. Extremely long wait times turning right at peak hours, especially trucks who need extra time.","Kylie: None","Helen: People taking silly risks to turn right out onto Bushmead Rd from Military Rd after waiting for 10 mins or more to go.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0147988796,-31.9107510442
"Hazelmere","25/11/18 6:17","355211","TRUE","Stirling Cres, Hazelmere","intersection_roundabout_nomination","Poor road markings or no edge-lines","Vehicles travel over the speed limit","Poor or no provision for cyclists","semi trialers fialing to give way to other vehicles, cyclists being knocked off there bikes buy cars and trucks taxi drivers fialing to give way to vehicles and cyclist alike B G C cemnet trucks fialing to give way and speeding through the intersectio","","Most days","Motorist","no_speed_limits_too_high","bruce","65-74","yes_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Stirling Cres"", ""AddNum"": """", ""ShortLabel"": ""Stirling Cres"", ""Subregion"": """", ""LongLabel"": ""Stirling Cres, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""Stirling Cres, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0096812248,-31.9108239035
"Hazelmere","25/11/18 14:34","355243","TRUE","Bushmead Rd, Hazelmere","intersection_roundabout_nomination","Other","Little chance to turn/cross traffic","Poor or no provision for cyclists","This roundabout was initially a good idea, however there are too many trucks taking this intersection to join Gt Eastern Hwy Bypass to go to other main roads. This intersection was never built for all the traffic it gathers now. And very difficult to negotiate as a cyclist. Very poor planning combined with Stirling Crescent blocked by the lights on the bypass. A nightmare in the making.","","Most days","Motorist","no_speed_limits_too_high","Francis","55-64","yes_member","6070","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Bushmead Rd"", ""AddNum"": """", ""ShortLabel"": ""Bushmead Rd"", ""Subregion"": """", ""LongLabel"": ""Bushmead Rd, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""Bushmead Rd, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.0094022751,-31.9107510442
"Hazelmere","26/11/18 6:55","355321","TRUE","3 & Great Eastern Highway Byp, Hazelmere","intersection_roundabout_nomination","Distraction issues","Speed limit too high","","i have seen goats","","Most days","Motorist","no_speed_limits_too_high","","25-34","no_member","6056","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Hazelmere"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""3 & Great Eastern Highway Byp"", ""AddNum"": """", ""ShortLabel"": ""3 & Great Eastern Highway Byp"", ""Subregion"": """", ""LongLabel"": ""3 & Great Eastern Highway Byp, Hazelmere"", ""PostalExt"": """", ""Match_addr"": ""3 & Great Eastern Highway Byp, Hazelmere, Western Australia, 6055"", ""Postal"": ""6055"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","3","Colin: None","Camillio: None","Steve: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116.014509201,-31.9162153304
