State Electorate,Created Datetime,Id,Visible,Name,Location Type,Main Risk,Risk Second,Risk Third,Description,Road Length,Frequency,Road User View,High Speed Limits Yes No,Submitter Name,Age,Rac Member,Postcode,Location,Submission Sets,Attachments,No. of Supports,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20,Comment 21,Comment 22,Comment 23,Comment 24,Comment 25,Comment 26,Comment 27,Comment 28,Comment 29,Comment 30,Comment 31,Comment 32,Comment 33,Comment 34,Comment 35,Comment 36,Comment 37,Comment 38,Comment 39,Comment 40,Comment 41,Comment 42,Comment 43,Comment 44,Comment 45,Comment 46,Comment 47,Comment 48,Comment 49,Comment 50,Comment 51,Comment 52,Comment 53,Comment 54,Comment 55,Comment 56,Comment 57,Comment 58,Comment 59,Comment 60,Comment 61,Comment 62,Comment 63,Comment 64,Comment 65,Comment 66,Comment 67,Comment 68,Comment 69,Comment 70,Comment 71,Comment 72,Comment 73,Comment 74,Comment 75,Comment 76,Comment 77,Comment 78,Comment 79,Comment 80,Comment 81,Comment 82,Comment 83,Comment 84,Comment 85,Comment 86,Comment 87,Comment 88,Comment 89,Comment 90,Comment 91,Comment 92,Comment 93,Comment 94,Comment 95,Comment 96,Comment 97,Comment 98,Comment 99,Comment 100,Comment 101,Comment 102,Comment 103,Comment 104,Comment 105,Comment 106,Comment 107,Comment 108,Comment 109,Comment 110,Comment 111,Comment 112,Comment 113,Comment 114,Comment 115,Comment 116,Comment 117,Comment 118,Comment 119,Comment 120,Comment 121,Comment 122,Comment 123,Comment 124,Comment 125,Comment 126,Comment 127,Comment 128,Comment 129,Comment 130,Comment 131,Comment 132,Comment 133,Comment 134,Comment 135,Comment 136,Comment 137,Comment 138,Comment 139,Comment 140,Comment 141,Comment 142,Comment 143,Comment 144,Comment 145,Comment 146,Comment 147,Comment 148,Comment 149,Comment 150,Comment 151,Comment 152,Comment 153,Comment 154,Comment 155,Comment 156,Comment 157,Comment 158,Comment 159,Comment 160,Comment 161,Comment 162,Comment 163,Comment 164,Comment 165,Comment 166,Comment 167,Comment 168,Comment 169,Comment 170,Comment 171,Comment 172,Comment 173,Comment 174,Comment 175,Comment 176,Comment 177,Comment 178,Comment 179,Comment 180,Comment 181,Comment 182,Comment 183,Comment 184,Comment 185,Comment 186,Comment 187,Comment 188,Comment 189,Comment 190,Comment 191,Comment 192,Comment 193,Comment 194,Comment 195,Comment 196,Comment 197,Comment 198,Comment 199,Comment 200,Comment 201,Comment 202,Comment 203,Comment 204,Comment 205,Comment 206,Comment 207,Comment 208,Comment 209,Comment 210,Comment 211,Comment 212,Comment 213,Comment 214,Comment 215,Comment 216,Comment 217,Comment 218,Comment 219,Comment 220,Comment 221,Comment 222,Comment 223,Comment 224,Comment 225,Comment 226,Comment 227,Comment 228,Comment 229,Comment 230,Comment 231,Comment 232,Comment 233,Comment 234,Comment 235,Comment 236,Comment 237,Comment 238,Comment 239,Comment 240,Comment 241,Comment 242,Comment 243,Comment 244,Comment 245,Comment 246,Comment 247,Comment 248,Comment 249,Comment 250,Comment 251,Comment 252,Comment 253,Comment 254,Comment 255,Comment 256,Comment 257,Comment 258,Comment 259,Comment 260,Comment 261,Comment 262,Comment 263,Comment 264,Comment 265,Comment 266,Comment 267,Comment 268,Comment 269,Comment 270,Comment 271,Comment 272,Comment 273,Comment 274,Comment 275,Comment 276,Comment 277,Comment 278,Comment 279,Comment 280,Comment 281,Comment 282,Comment 283,Comment 284,Comment 285,Comment 286,Comment 287,Comment 288,Comment 289,Comment 290,Comment 291,Comment 292,Comment 293,Comment 294,Comment 295,Comment 296,Comment 297,Comment 298,Comment 299,Comment 300,Comment 301,Comment 302,Comment 303,Comment 304,Comment 305,Comment 306,Comment 307,Comment 308,Comment 309,Comment 310,Comment 311,Comment 312,Comment 313,Comment 314,Comment 315,Comment 316,Comment 317,Comment 318,Comment 319,Comment 320,Comment 321,Comment 322,Comment 323,Comment 324,Comment 325,Comment 326,Comment 327,Comment 328,Comment 329,Comment 330,Comment 331,Comment 332,Comment 333,Comment 334,Comment 335,Comment 336,Comment 337,Comment 338,Comment 339,Comment 340,Comment 341,Comment 342,Comment 343,Comment 344,Comment 345,Comment 346,Comment 347,Comment 348,Comment 349,Comment 350,Comment 351,Comment 352,Comment 353,Comment 354,Comment 355,Comment 356,Comment 357,Comment 358,Comment 359,Comment 360,Comment 361,Comment 362,Comment 363,Comment 364,Comment 365,Comment 366,Comment 367,Comment 368,Comment 369,Comment 370,Comment 371,Comment 372,Comment 373,Comment 374,Comment 375,Comment 376,Comment 377,Comment 378,Comment 379,Comment 380,Comment 381,Comment 382,Comment 383,Comment 384,Comment 385,Comment 386,Comment 387,Comment 388,Comment 389,Comment 390,Comment 391,Comment 392,Comment 393,Comment 394,Comment 395,Comment 396,Comment 397,Comment 398,Comment 399,Comment 400,Comment 401,Comment 402,Comment 403,Comment 404,Comment 405,Comment 406,Comment 407,Comment 408,Comment 409,Comment 410,Comment 411,Comment 412,Comment 413,Comment 414,Comment 415,Comment 416,Comment 417,Comment 418,Comment 419,Comment 420,Comment 421,Comment 422,Comment 423,Comment 424,Comment 425,Comment 426,Comment 427,Comment 428,Comment 429,Comment 430,Comment 431,Comment 432,Comment 433,Comment 434,Comment 435,Comment 436,Comment 437,Comment 438,Comment 439,Comment 440,Comment 441,Comment 442,Comment 443,Comment 444,Comment 445,Comment 446,Comment 447,Comment 448,Comment 449,Comment 450,Comment 451,Comment 452,Comment 453,Comment 454,Comment 455,Comment 456,Comment 457,Comment 458,Comment 459,Comment 460,Comment 461,Comment 462,Comment 463,Comment 464,Comment 465,Comment 466,Comment 467,Comment 468,Comment 469,Comment 470,Comment 471,Comment 472,Comment 473,Comment 474,Comment 475,Comment 476,Comment 477,Comment 478,Comment 479,Comment 480,Comment 481,Comment 482,Comment 483,Comment 484,Comment 485,Comment 486,Comment 487,Comment 488,Comment 489,Comment 490,Comment 491,Comment 492,Comment 493,Comment 494,Comment 495,Comment 496,Comment 497,Comment 498,Comment 499,Comment 500,Comment 501,Comment 502,Comment 503,Comment 504,Comment 505,Comment 506,Comment 507,Comment 508,Comment 509,Comment 510,Comment 511,Comment 512,Comment 513,Comment 514,Comment 515,Comment 516,Comment 517,Comment 518,Comment 519,Comment 520,Comment 521,Comment 522,Comment 523,Comment 524,Comment 525,Comment 526,Comment 527,Comment 528,Longitude,Latitude
"JANDAKOT, SM","5/11/18 22:51","351534","TRUE","130-132 Wright Rd, Harrisdale","road_nomination","Tight curves or blind crests","Vehicles travel over the speed limit","Unsafe or poor pedestrian crossing","It is very dangerous to try to cross the road. Cars go too fast. You can�۪t see past the bus stop when a bus is there.  Trees bushes obscure the view. The road is bendy so vision is limited. You can�۪t stop in the middle.  Many families cross here taking children to school.  It is an accident waiting to happen. I submitted a petition to council of over 100 signatures about 4 years ago.  They lost it apart from the first page and nothing has happened to make it safer","1 ��� 5km","Most days","Pedestrian","no_speed_limits_too_high","Vicky","35-44","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Harrisdale"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""130 Wright Rd"", ""AddNum"": ""130"", ""ShortLabel"": ""130-132 Wright Rd"", ""Subregion"": """", ""LongLabel"": ""130-132 Wright Rd, Harrisdale"", ""PostalExt"": """", ""Match_addr"": ""130-132 Wright Rd, Harrisdale, Western Australia, 6112"", ""Postal"": ""6112"", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","8","Sarah: None","None","None","None","Matt: None","Joanne: None","Kristy: None","Brooke: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.9330022335,-32.114385301
"JANDAKOT, SM","6/11/18 0:11","351555","TRUE","Northerly Dr, Harrisdale","road_nomination","Tight curves or blind crests","Vehicles travel over the speed limit","Narrow road, lanes or bridges","Close calls with card and kids","less than 1km","Most days","Motorist","no_speed_limits_too_high","","25-34","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Harrisdale"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Northerly Dr"", ""AddNum"": """", ""ShortLabel"": ""Northerly Dr"", ""Subregion"": """", ""LongLabel"": ""Northerly Dr, Harrisdale"", ""PostalExt"": """", ""Match_addr"": ""Northerly Dr, Harrisdale, Western Australia, 6112"", ""Postal"": ""6112"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.9210253645,-32.1178154551
"JANDAKOT, SM","6/11/18 8:12","351641","TRUE","13, Leeming","road_nomination","Other","","","Bus lane, need to change lanes, sudden stops because of four traffic lights in close succession","1 ��� 5km","Most days","Motorist","no_speed_limits_too_high","","35-44","yes_member","6108","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Leeming"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""13"", ""AddNum"": """", ""ShortLabel"": ""13"", ""Subregion"": """", ""LongLabel"": ""13, Leeming"", ""PostalExt"": """", ""Match_addr"": ""13, Leeming, Western Australia, 6149"", ""Postal"": ""6149"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","2","None","Linda: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.8553791046,-32.0658899434
"JANDAKOT, SM","6/11/18 9:04","351651","TRUE","Nicholson Rd, Banjup","intersection_roundabout_nomination","Area requires lights/roundabout","Confusing layout","Little chance to turn/cross traffic","This is a roundabout which use to be a set of traffic lights before the development around the area. Now the intersection is getting more dangerous with the amount of traffic that use it. The city of Gosnells have no apparent reason to believe that they need to change this intersection despite all the recent traffic issuse and frount to tail accidents at that intersection.","","I actively avoid the area","Motorist","no_speed_limits_too_high","Lloyd Venus","25-34","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Banjup"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Nicholson Rd"", ""AddNum"": """", ""ShortLabel"": ""Nicholson Rd"", ""Subregion"": """", ""LongLabel"": ""Nicholson Rd, Banjup"", ""PostalExt"": """", ""Match_addr"": ""Nicholson Rd, Banjup, Western Australia, 6164"", ""Postal"": ""6164"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","4","None","Sie: None","BRENDAN: None","Clare: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.9159469602,-32.1154454681
"JANDAKOT, SM","6/11/18 11:04","351686","TRUE","Jandakot Rd & Solomon Rd, Jandakot","intersection_roundabout_nomination","Lacks median strip/traffic separation","Vehicles travel over the speed limit","Poor or no road lighting","","","Most days","Motorist","no_speed_limits_too_high","","25-34","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Jandakot"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Jandakot Rd & Solomon Rd"", ""AddNum"": """", ""ShortLabel"": ""Jandakot Rd & Solomon Rd"", ""Subregion"": """", ""LongLabel"": ""Jandakot Rd & Solomon Rd, Jandakot"", ""PostalExt"": """", ""Match_addr"": ""Jandakot Rd & Solomon Rd, Jandakot, Western Australia, 6164"", ""Postal"": ""6164"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","14","Close calls and a few collisions","Talia: None","Matt: None","Jarred: None","MC: A number of vehicles turn right into Solomon Rd from Jandakot Rd. The speed limit is 70 kmph. The left edge of the road has now crumbled due to people overtaking turning vehicles on the left. The road at that point needs to be widened to include a specific RH turning lane so cars can continue straight ahead in safety. There have been a number of accidents with people turning right from Solomon  into Jandakot. Skid marks constantly show how dangerous it is to do this with a 70 km speed limit.","None","Martin: Traffic descends on this very small T Junction at 80km hr and there are large trucks that turn here into the industrial area, very difficult turning left from Solomon also with cars approaching at from around a bend at 80km","None","Carrie : None","Peter: I have been hit from behind by a car while I was starting to turn  after having to wait for an oncoming car to go past  ","None","None","Sue: None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.8751760228,-32.1119805156
"JANDAKOT, SM","6/11/18 15:05","351716","TRUE","227-237 Jandakot Rd, Jandakot","road_nomination","Lacks median strip/traffic separation","Poor road surface quality","Lacks overtaking opportunities","Multiple vehicle accidents.  Involved in 1 near this section.  Regular traffic jams and frustrated drivers","1 ��� 5km","Most days","Motorist","no_speed_limits_too_high","","25-34","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Jandakot"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""231 Jandakot Rd"", ""AddNum"": ""231"", ""ShortLabel"": ""227-237 Jandakot Rd"", ""Subregion"": """", ""LongLabel"": ""227-237 Jandakot Rd, Jandakot"", ""PostalExt"": """", ""Match_addr"": ""227-237 Jandakot Rd, Jandakot, Western Australia, 6164"", ""Postal"": ""6164"", ""Type"": """", ""Addr_type"": ""StreetAddress"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.881151939,-32.1144762905
"JANDAKOT, SM","7/11/18 4:43","351958","TRUE","Warton Rd, Piara Waters","intersection_roundabout_nomination","Little chance to turn/cross traffic","Area requires lights/roundabout","Vehicles travel over the speed limit","15 minute wait times to go through roundabout .traffic backs up over 1.5km + during peak times especially","","Most days","Motorist","no_speed_limits_too_high","","55-64","yes_member","6152","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Piara Waters"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Warton Rd"", ""AddNum"": """", ""ShortLabel"": ""Warton Rd"", ""Subregion"": """", ""LongLabel"": ""Warton Rd, Piara Waters"", ""PostalExt"": """", ""Match_addr"": ""Warton Rd, Piara Waters, Western Australia, 6112"", ""Postal"": ""6112"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.9045070867,-32.1259397149
"JANDAKOT, SM","7/11/18 4:48","351960","TRUE","Warton Rd, Piara Waters","intersection_roundabout_nomination","Little chance to turn/cross traffic","Area requires lights/roundabout","","Please put traffic lights at this intersection.the wait.times to get into pairs waters are long and crossing the.current roundabout is very scary","","Most days","Motorist","no_speed_limits_too_high","","35-44","no_member","6110","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Piara Waters"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Warton Rd"", ""AddNum"": """", ""ShortLabel"": ""Warton Rd"", ""Subregion"": """", ""LongLabel"": ""Warton Rd, Piara Waters"", ""PostalExt"": """", ""Match_addr"": ""Warton Rd, Piara Waters, Western Australia, 6112"", ""Postal"": ""6112"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","1","Sridhar Raja: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.9047310637,-32.1257237889
"JANDAKOT, SM","8/11/18 1:07","352242","TRUE","13 & Findlay Rd, Leeming","intersection_roundabout_nomination","Area requires lights/roundabout","Little chance to turn/cross traffic","Other","Accidents and near misses occur here daily.  Most near misses caused by traffic turning right into South st and failing to give way to traffic turning into Findlay St.  Need to modify this intersection and remove the ability to turn right into South St.  On any given morning tow trucks are parked at this intersection.","","Most days","Motorist","no_speed_limits_too_high","Ian","45-54","yes_member","6149","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Leeming"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""13 & Findlay Rd"", ""AddNum"": """", ""ShortLabel"": ""13 & Findlay Rd"", ""Subregion"": """", ""LongLabel"": ""13 & Findlay Rd, Leeming"", ""PostalExt"": """", ""Match_addr"": ""13 & Findlay Rd, Leeming, Western Australia, 6149"", ""Postal"": ""6149"", ""Type"": """", ""Addr_type"": ""StreetInt"", ""Block"": """", ""MetroArea"": """"}","","","1","Anton: None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.8614516258,-32.0659376765
"JANDAKOT, SM","8/11/18 2:28","352261","TRUE","Jandakot Rd, Banjup","road_nomination","Tight curves or blind crests","Lacks median strip/traffic separation","Poor road surface quality","","1 ��� 5km","Most days","Motorist","no_speed_limits_too_high","Darren","25-34","yes_member","6112","{""Sector"": """", ""PlaceName"": """", ""Territory"": """", ""Neighborhood"": ""Banjup"", ""CountryCode"": ""AUS"", ""District"": """", ""City"": ""Perth"", ""Region"": ""Western Australia"", ""Address"": ""Jandakot Rd"", ""AddNum"": """", ""ShortLabel"": ""Jandakot Rd"", ""Subregion"": """", ""LongLabel"": ""Jandakot Rd, Banjup"", ""PostalExt"": """", ""Match_addr"": ""Jandakot Rd, Banjup, Western Australia, 6164"", ""Postal"": ""6164"", ""Type"": """", ""Addr_type"": ""StreetName"", ""Block"": """", ""MetroArea"": """"}","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115.8775663376,-32.1122406965
